time,energy,dew_point,enth,rel_hum,temp,lab_P051_binary,lab_P015_binary,lab_P011_binary,lab_251102_binary,WorkDay,day_of_week,month,year,hour,day,day_of_year,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,month_sin,month_cos
2022-11-11 22:00:00,1694.0,6.02767205897075,29.517971825986635,88.07300246392116,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,22,11,315,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384
2022-11-11 23:00:00,1582.0,6.02767205897075,29.517971825986635,87.96740584301303,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,23,11,315,-0.433883739117558,-0.9009688679024191,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384
2022-11-12 00:00:00,1559.0,6.02767205897075,29.517971825986635,87.8618092221049,13.039443116804229,0.0,0.0,0.0,0.0,0,5,11,2022,0,12,316,-0.9749279121818236,-0.2225209339563146,0.0,1.0,-0.5000000000000004,0.8660254037844384
2022-11-12 01:00:00,1581.0,6.02767205897075,29.517971825986635,87.75621260119676,13.039443116804229,0.0,0.0,0.0,0.0,0,5,11,2022,1,12,316,-0.9749279121818236,-0.2225209339563146,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384
2022-11-12 02:00:00,1600.0,6.02767205897075,29.517971825986635,87.65061598028863,13.039443116804229,0.0,0.0,0.0,0.0,0,5,11,2022,2,12,316,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384
2022-11-12 03:00:00,1571.0,6.02767205897075,29.517971825986635,87.54501935938052,13.039443116804229,0.0,0.0,0.0,0.0,0,5,11,2022,3,12,316,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
2022-11-12 04:00:00,1557.0,6.02767205897075,29.517971825986635,87.43942273847237,13.039443116804229,0.0,0.0,0.0,0.0,0,5,11,2022,4,12,316,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
2022-11-12 05:00:00,1569.0,6.02767205897075,29.517971825986635,87.33382611756424,13.039443116804229,0.0,0.0,0.0,0.0,0,5,11,2022,5,12,316,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384
2022-11-12 06:00:00,1692.0,6.02767205897075,29.517971825986635,87.22822949665611,13.039443116804229,0.0,0.0,0.0,0.0,0,5,11,2022,6,12,316,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384
2022-11-12 07:00:00,1424.0,6.02767205897075,29.517971825986635,87.12263287574798,13.039443116804229,0.0,0.0,0.0,0.0,0,5,11,2022,7,12,316,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
